snapnum,qc_method,frz,pol,del_scf,bsse_scf,ct_scf,tot_scf,ho_scf
25,HF/6-31G**,3.857777247,-2.219459847,-4.255133843,3.684290153,-0.57084369,1.067473709,-0.064720363
33,HF/6-31G**,-2.437270554,-1.42210086,-3.400532983,2.94331262,-0.457220363,-4.316591778,-0.056974187
69,HF/6-31G**,1.519194551,-2.26789675,-3.297523901,2.739500478,-0.558023423,-1.306728011,-0.089392925
111,HF/6-31G**,-1.621534417,-1.417308795,-3.123816922,2.62791348,-0.495903442,-3.534746654,-0.087246654
184,HF/6-31G**,-3.728814532,-1.683451243,-3.726410134,3.84416826,0.117758126,-5.294507648,0.077750956
254,HF/6-31G**,-3.469526769,-0.787366157,-3.292798757,3.170549713,-0.122251434,-4.379141969,0.020301147
270,HF/6-31G**,0.121857075,-2.616931166,-3.336873805,3.015107553,-0.321766252,-2.816842734,-0.03914675
288,HF/6-31G**,5.657234704,-0.773518164,-2.277777247,2.772597992,0.494820746,5.378537285,0.163601816
391,HF/6-31G**,3.133649618,-1.06957218,-4.440102772,4.892268164,0.452165392,2.51624283,0.155798279
414,HF/6-31G**,2.144122849,-1.010518642,-3.514933078,3.792014818,0.27708174,1.410685946,0.112160612
422,HF/6-31G**,-0.457392447,-1.452411568,-3.425313098,3.1675,-0.257813098,-2.167617113,-0.029619981
443,HF/6-31G**,-3.740535373,-1.467588432,-3.10581979,2.487784417,-0.618035373,-5.826161568,-0.126560707
535,HF/6-31G**,-2.621465105,-1.908785851,-3.222342256,3.024875717,-0.197466539,-4.727715105,-0.021567878
564,HF/6-31G**,-4.21916826,-1.74376195,-2.800585564,2.747397228,-0.053188337,-6.016118547,0.023991396
934,HF/6-31G**,-0.317014818,-0.809627151,-3.321940727,2.847225143,-0.474715583,-1.601355163,-0.088855163
25,B3LYP/6-31G**,3.608850382,-2.05208413,-7.800382409,5.6345674,-2.1658174,-0.609048757,-0.079835086
33,B3LYP/6-31G**,-1.383539675,-1.304330784,-6.514959369,4.842033939,-1.67292543,-4.360795889,-0.057753346
69,B3LYP/6-31G**,1.666132887,-2.326116157,-5.943150096,4.087703155,-1.855449331,-2.5154326,-0.077060229
111,B3LYP/6-31G**,-0.811484226,-1.305138623,-5.636116157,4.089137189,-1.546976577,-3.663599426,-0.070114723
184,B3LYP/6-31G**,-2.267021989,-1.647473709,-7.123656788,6.076137667,-1.04751673,-4.962012428,-0.013943595
254,B3LYP/6-31G**,-2.205494742,-0.710040631,-6.270566444,5.016940727,-1.253625717,-4.16916348,-0.018859943
270,B3LYP/6-31G**,0.081508126,-2.634541109,-6.345786329,4.771020554,-1.574765774,-4.127798757,-0.048804971
288,B3LYP/6-31G**,4.953804971,-0.709263862,-4.467323136,4.460172084,-0.007151052,4.237390057,0.051278681
391,B3LYP/6-31G**,3.030105163,-1.023477533,-8.498800191,7.630265296,-0.868534895,1.138092734,-0.015160134
414,B3LYP/6-31G**,1.976137667,-0.917449809,-6.481978967,5.809086998,-0.672891969,0.385793499,-0.003556405
422,B3LYP/6-31G**,0.232958891,-1.373871893,-6.54585325,4.986505736,-1.559347514,-2.700258126,-0.06833174
443,B3LYP/6-31G**,-2.834122849,-1.417836998,-5.865528203,4.123568356,-1.741959847,-5.993919694,-0.07416587
535,B3LYP/6-31G**,-1.868793021,-1.901386233,-6.099113289,4.785576004,-1.313539675,-5.083718929,-0.052691205
564,B3LYP/6-31G**,-3.138128585,-1.742148662,-5.118367591,4.323472753,-0.794894837,-5.675174474,-0.004739484
934,B3LYP/6-31G**,0.512270554,-0.713360421,-6.361978967,4.414455067,-1.947523901,-2.148613767,-0.117466539
25,B3LYP-D2/6-31G**,-5.215604685,-2.05208413,-7.800382409,5.634553059,-2.16582935,-9.433518164,-0.079837476
33,B3LYP-D2/6-31G**,-7.532380497,-1.304330784,-6.514959369,4.842053059,-1.67290631,-10.50961759,-0.057753346
69,B3LYP-D2/6-31G**,-4.137060229,-2.326116157,-5.943150096,4.087791587,-1.855358509,-8.318537285,-0.077057839
111,B3LYP-D2/6-31G**,-6.643202677,-1.305138623,-5.636116157,4.089139579,-1.546974187,-9.495317878,-0.070117113
184,B3LYP-D2/6-31G**,-8.750566444,-1.647473709,-7.123656788,6.076137667,-1.04751673,-11.44555688,-0.013953155
254,B3LYP-D2/6-31G**,-8.49415392,-0.710040631,-6.270566444,5.016923996,-1.253642447,-10.457837,-0.018859943
270,B3LYP-D2/6-31G**,-5.412108031,-2.634541109,-6.345786329,4.771015774,-1.574772945,-9.621419694,-0.048804971
288,B3LYP-D2/6-31G**,-1.294309273,-0.709263862,-4.467323136,4.460219885,-0.00710325,-2.010676386,0.051281071
391,B3LYP-D2/6-31G**,-5.153534895,-1.023477533,-8.498800191,7.630258126,-0.868542065,-7.045554493,-0.015160134
414,B3LYP-D2/6-31G**,-5.427323136,-0.917449809,-6.481978967,5.808996176,-0.672982792,-7.017755736,-0.003554015
422,B3LYP-D2/6-31G**,-6.085561663,-1.373871893,-6.54585325,4.98666826,-1.55918499,-9.018616157,-0.06832696
443,B3LYP-D2/6-31G**,-7.415124283,-1.417836998,-5.865528203,4.123568356,-1.741959847,-10.57492352,-0.07416826
535,B3LYP-D2/6-31G**,-7.138358031,-1.901386233,-6.099113289,4.785604685,-1.313508604,-10.35325526,-0.052693595
564,B3LYP-D2/6-31G**,-7.899921128,-1.742148662,-5.118367591,4.323467973,-0.794897228,-10.43696941,-0.004737094
934,B3LYP-D2/6-31G**,-5.587528681,-0.713360421,-6.361978967,4.414452677,-1.947526291,-8.248415392,-0.117464149
25,B3LYP-D3/6-31G**,-5.008111855,-2.05208413,-7.800382409,5.634553059,-2.16582935,-9.226025335,-0.079837476
33,B3LYP-D3/6-31G**,-7.897327916,-1.304330784,-6.514959369,4.842053059,-1.67290631,-10.8745674,-0.057753346
69,B3LYP-D3/6-31G**,-4.227143881,-2.326116157,-5.943150096,4.087791587,-1.855358509,-8.408620937,-0.077057839
111,B3LYP-D3/6-31G**,-6.885303537,-1.305138623,-5.636116157,4.089139579,-1.546974187,-9.737418738,-0.070117113
184,B3LYP-D3/6-31G**,-8.825736138,-1.647473709,-7.123656788,6.076137667,-1.04751673,-11.52072897,-0.013953155
254,B3LYP-D3/6-31G**,-8.705145793,-0.710040631,-6.270566444,5.016923996,-1.253642447,-10.66882648,-0.018859943
270,B3LYP-D3/6-31G**,-5.621491396,-2.634541109,-6.345786329,4.771015774,-1.574772945,-9.830803059,-0.048804971
288,B3LYP-D3/6-31G**,-1.787727055,-0.709263862,-4.467323136,4.460219885,-0.00710325,-2.504094168,0.051281071
391,B3LYP-D3/6-31G**,-4.867533461,-1.023477533,-8.498800191,7.630258126,-0.868542065,-6.759553059,-0.015160134
414,B3LYP-D3/6-31G**,-5.427626673,-0.917449809,-6.481978967,5.808996176,-0.672982792,-7.018059273,-0.003554015
422,B3LYP-D3/6-31G**,-6.468824092,-1.373871893,-6.54585325,4.98666826,-1.55918499,-9.401880975,-0.06832696
443,B3LYP-D3/6-31G**,-7.799842256,-1.417836998,-5.865528203,4.123568356,-1.741959847,-10.9596391,-0.07416826
535,B3LYP-D3/6-31G**,-7.485518642,-1.901386233,-6.099113289,4.785604685,-1.313508604,-10.70041348,-0.052693595
564,B3LYP-D3/6-31G**,-8.189892447,-1.742148662,-5.118367591,4.323467973,-0.794897228,-10.72694073,-0.004737094
934,B3LYP-D3/6-31G**,-5.647825048,-0.713360421,-6.361978967,4.414452677,-1.947526291,-8.308709369,-0.117464149
25,\(\omega\)B97X-D/6-31G**,-1.913874283,-2.136837954,-6.866104207,4.688209847,-2.177894359,-6.228606597,-0.492464149
33,\(\omega\)B97X-D/6-31G**,-5.303061663,-1.284545889,-5.620272467,3.943838432,-1.676434034,-8.264041587,-0.379784895
69,\(\omega\)B97X-D/6-31G**,-2.144684512,-2.403809751,-4.935370459,3.419612811,-1.515757648,-6.064251912,-0.362461759
111,\(\omega\)B97X-D/6-31G**,-4.734043977,-1.343310229,-4.752007648,3.37667304,-1.375334608,-7.452688815,-0.352942161
184,\(\omega\)B97X-D/6-31G**,-5.71664675,-1.6108413,-6.153530115,5.084115679,-1.069414436,-8.396902486,-0.247382887
254,\(\omega\)B97X-D/6-31G**,-5.834345124,-0.692430688,-5.410348948,4.181025335,-1.229323614,-7.756099426,-0.275956023
270,\(\omega\)B97X-D/6-31G**,-3.038898184,-2.668417782,-5.334079828,3.942411568,-1.39166826,-7.098984226,-0.347872849
288,\(\omega\)B97X-D/6-31G**,0.756192639,-0.71624761,-3.801118547,3.664055927,-0.13706262,-0.097117591,-0.006589388
391,\(\omega\)B97X-D/6-31G**,-0.840176864,-1.006814054,-7.542734226,6.428649618,-1.114084608,-2.961075526,-0.245516252
414,\(\omega\)B97X-D/6-31G**,-2.422872849,-0.918205067,-5.716211759,4.856350382,-0.859861377,-4.200939293,-0.200129063
422,\(\omega\)B97X-D/6-31G**,-3.680375239,-1.331106597,-5.74960086,4.140865201,-1.60873566,-6.620217495,-0.37834847
443,\(\omega\)B97X-D/6-31G**,-5.933013862,-1.434048757,-4.862645793,3.378845602,-1.483800191,-8.850862811,-0.398831262
535,\(\omega\)B97X-D/6-31G**,-5.118671128,-1.854075048,-5.23250239,3.957543021,-1.274959369,-8.247707935,-0.353716539
564,\(\omega\)B97X-D/6-31G**,-6.36208174,-1.764610421,-4.227179732,3.636551147,-0.590628585,-8.717318356,-0.152256214
934,\(\omega\)B97X-D/6-31G**,-3.231591778,-0.702719885,-5.602421128,3.668542065,-1.933879063,-5.868188337,-0.482691205
25,\(\omega\)B97X-D/cc-pVTZ,-1.66917782,-2.779201721,-3.817533461,1.740286807,-2.077246654,-6.525626195,-0.422437859
33,\(\omega\)B97X-D/cc-pVTZ,-4.910956023,-1.714385755,-3.050093212,1.637595602,-1.41249761,-8.037841778,-0.302301625
69,\(\omega\)B97X-D/cc-pVTZ,-2.023369981,-3.122880019,-3.321022945,1.745595124,-1.57542782,-6.72168021,-0.351493786
111,\(\omega\)B97X-D/cc-pVTZ,-4.524091778,-1.776835564,-2.857325526,1.544254302,-1.313071224,-7.613998566,-0.307664914
184,\(\omega\)B97X-D/cc-pVTZ,-5.348389101,-2.020982314,-3.328479924,2.047877629,-1.280602294,-8.649973709,-0.277260994
254,\(\omega\)B97X-D/cc-pVTZ,-5.6041587,-0.930645315,-2.615303537,1.520332218,-1.094971319,-7.629775335,-0.222660134
270,\(\omega\)B97X-D/cc-pVTZ,-2.749612811,-3.176410134,-2.943260038,1.657399618,-1.285858031,-7.211880975,-0.280026291
288,\(\omega\)B97X-D/cc-pVTZ,0.834763384,-0.956116157,-2.067717495,1.588991396,-0.478726099,-0.600076482,-0.084665392
391,\(\omega\)B97X-D/cc-pVTZ,-0.557679254,-1.384861377,-3.537590822,2.004906788,-1.532686424,-3.475227055,-0.303812141
414,\(\omega\)B97X-D/cc-pVTZ,-2.145991874,-1.25417543,-2.951720841,1.81501434,-1.136706501,-4.536873805,-0.227158222
422,\(\omega\)B97X-D/cc-pVTZ,-3.595219885,-1.805984704,-2.987060229,1.561596558,-1.425463671,-6.82666826,-0.30873566
443,\(\omega\)B97X-D/cc-pVTZ,-5.56210086,-1.823097514,-3.020975143,1.780064532,-1.240913002,-8.626108987,-0.291842734
535,\(\omega\)B97X-D/cc-pVTZ,-5.075229446,-2.210573614,-2.910059751,1.625499522,-1.284560229,-8.570363289,-0.307421128
564,\(\omega\)B97X-D/cc-pVTZ,-6.020497132,-2.062210803,-2.532203633,1.757597992,-0.774605641,-8.857313576,-0.179490918
934,\(\omega\)B97X-D/cc-pVTZ,-3.26333413,-0.958073614,-3.040721797,1.402002868,-1.638721319,-5.860129063,-0.3629087
25,\(\omega\)B97M-V/6-31G**,-4.546321702,-2.158919694,-7.31624283,5.937736616,-1.378506214,-8.08374761,-0.309249522
33,\(\omega\)B97M-V/6-31G**,-7.63083652,-1.299500478,-6.037597992,5.027184512,-1.01041348,-9.940750478,-0.225045411
69,\(\omega\)B97M-V/6-31G**,-3.454282983,-2.39792304,-5.45751673,4.324273423,-1.133243308,-6.985449331,-0.253264818
111,\(\omega\)B97M-V/6-31G**,-6.26874761,-1.332681644,-5.238938815,4.270117113,-0.968821702,-8.570253346,-0.236223709
184,\(\omega\)B97M-V/6-31G**,-8.595877151,-1.611223709,-6.637569312,6.369423996,-0.268145315,-10.47524857,-0.058429732
254,\(\omega\)B97M-V/6-31G**,-8.159966539,-0.700714627,-5.945181644,5.311479446,-0.633702199,-9.494383365,-0.117406788
270,\(\omega\)B97M-V/6-31G**,-4.811314532,-2.652151052,-5.882633843,4.962210803,-0.92042304,-8.383888623,-0.219811185
288,\(\omega\)B97M-V/6-31G**,-1.321307361,-0.731699331,-4.109118069,4.666744742,0.557624283,-1.495380019,0.180451721
391,\(\omega\)B97M-V/6-31G**,-4.659858987,-1.027882409,-7.996190249,8.046453155,0.050260516,-5.637478489,-0.013264818
414,\(\omega\)B97M-V/6-31G**,-4.889419216,-0.93915153,-6.077153442,6.067997132,-0.00915631,-5.837729446,-0.00751434
422,\(\omega\)B97M-V/6-31G**,-6.070996654,-1.37499044,-6.13668738,5.233238528,-0.903448853,-8.349435946,-0.236424474
443,\(\omega\)B97M-V/6-31G**,-7.125697897,-1.439918738,-5.457722275,4.242315966,-1.2154087,-9.781025335,-0.311775813
535,\(\omega\)B97M-V/6-31G**,-7.078188337,-1.878255258,-5.684710803,4.961947897,-0.722762906,-9.679206501,-0.198922084
564,\(\omega\)B97M-V/6-31G**,-7.525277247,-1.736073136,-4.79126673,4.531496176,-0.259770554,-9.521120937,-0.037729446
934,\(\omega\)B97M-V/6-31G**,-5.445781549,-0.731142447,-5.882122371,4.60957218,-1.272550191,-7.449476577,-0.357012428
25,\(\omega\)B97M-V/cc-pVTZ,-4.066632409,-2.830513862,-4.061723231,2.409902008,-1.651821224,-8.548967495,-0.358938815
