,snapnum,weight,sapt_basis,electrostatics,exchange,"""frz""",induction,exchange_induction,induction_delta_hf,"""pol""","""frz"" + ""pol""",dispersion,exchange_dispersion,"""disp""",total,ct
,25,0.06060606,monomer,-6.02052322,6.51456544,0.49404222,-2.23825056,0.13142819,-1.00818003,-3.1150024,-2.62096018,-6.15283793,0.13182648,-6.02101145,-8.64197163,-0.4409
,33,0.4010101,monomer,-9.0880557,3.8392377,-5.248818,-1.2486359,-0.01711222,-0.75069834,-2.01644646,-7.26526446,-4.62843222,0.07421971,-4.55421251,-11.81947697,-0.3373
,69,0.22626263,monomer,-2.77016093,2.70785565,-0.06230528,-2.37855051,0.07706477,-1.68714842,-3.98863416,-4.05093944,-3.51478248,0.03066038,-3.4841221,-7.53506154,-0.3276
,111,0.06060606,monomer,-5.79434329,2.44899993,-3.34534336,-1.38713894,0.01210543,-1.4484189,-2.82345241,-6.16879577,-3.95158936,0.04684159,-3.90474777,-10.07354354,-0.2578
,184,0.06060606,monomer,-9.66782443,2.83733739,-6.83048704,-1.50521219,-0.01940694,-0.78653729,-2.31115642,-9.14164346,-4.30330304,0.05961375,-4.24368929,-13.38533275,-0.3143
,254,0.22626263,monomer,-8.00945636,2.17780939,-5.83164697,-0.69307557,-0.00726106,-1.02342294,-1.72375957,-7.55540654,-4.10036163,0.0500022,-4.05035943,-11.60576597,-0.247
,270,0.06464646,monomer,-4.20887558,2.33673772,-1.87213786,-2.47138047,-0.01704843,-1.47622395,-3.96465285,-5.83679071,-3.48674034,0.04148665,-3.44525369,-9.2820444,-0.3328
,288,0.4010101,monomer,1.60976621,1.66879025,3.27855646,-0.7205617,-0.00384198,0.0485951,-0.67580858,2.60274788,-4.45193393,0.04827372,-4.40366021,-1.80091233,-0.1336
,391,0.24747475,monomer,-6.4339249,5.05030032,-1.38362458,-0.97489172,0.03667734,-0.05580051,-0.99401489,-2.37763947,-5.30928548,0.09012433,-5.21916115,-7.59680062,-0.3045
,414,0.4010101,monomer,-3.8286136,2.85807642,-0.97053718,-0.93982889,0.01363097,-0.48757935,-1.41377727,-2.38431445,-4.65168508,0.06131253,-4.59037255,-6.974687,-0.2694
,422,0.06464646,monomer,-6.49624338,3.00806429,-3.48817909,-1.29517561,-0.02118395,-0.53443743,-1.85079699,-5.33897608,-4.21320345,0.06415911,-4.14904434,-9.48802042,-0.356
,443,0.24747475,monomer,-6.56268506,1.56933703,-4.99334803,-1.38789792,-0.00592807,-1.93343953,-3.32726552,-8.32061355,-3.05323612,0.03221764,-3.02101848,-11.34163203,-0.3332
,535,0.06464646,monomer,-6.56166415,1.7290187,-4.83264545,-1.68911437,-0.03987172,-1.19695031,-2.9259364,-7.75858185,-3.6105314,0.04206704,-3.56846436,-11.32704621,-0.2826
,564,0.22626263,monomer,-6.65408675,1.06602916,-5.58805759,-1.62991472,-0.01567496,-1.53463637,-3.18022605,-8.76828364,-2.81765005,0.01996834,-2.79768171,-11.56596535,-0.1962
,934,0.24747475,monomer,-7.1629172,4.13703198,-3.02588522,-0.7134691,0.02810362,-0.7429685,-1.42833398,-4.4542192,-4.19872927,0.09521463,-4.10351464,-8.55773384,-0.3469
,25,0.06060606,dimer,-8.2827819,12.6720785,4.3892966,-6.07091091,3.52321681,-0.76766422,-3.31535832,1.07393828,-7.83210034,0.8366179,-6.99548244,-5.92154416,-0.4409
,33,0.4010101,dimer,-11.04893335,8.95392421,-2.09500914,-3.85224921,2.24924211,-0.6132767,-2.2162838,-4.31129294,-5.7495158,0.55236124,-5.19715456,-9.5084475,-0.3373
,69,0.22626263,dimer,-4.28208881,5.87712146,1.59503265,-4.46200164,1.83287724,-0.26867459,-2.89779899,-1.30276634,-4.31755421,0.3430524,-3.97450181,-5.27726815,-0.3276
