,snapnum,weight,sapt_basis,electrostatics,exchange,"""frz""",induction,exchange_induction,induction_delta_hf,"""pol""","""frz"" + ""pol""",dispersion,exchange_dispersion,"""disp""",total,ct
,25,0.06060606,monomer,-7.13247984,11.9541007,4.82162086,-4.6703091,1.88309655,-1.19532886,-3.98254141,0.83907945,-10.56714197,0.68417957,-9.8829624,-9.04388295,-0.3057
,33,0.4010101,monomer,-9.91529475,8.53760899,-1.37768576,-2.75526327,0.98316792,-1.05638591,-2.82848126,-4.20616702,-7.94832461,0.45931368,-7.48901093,-11.69517795,-0.2424
,69,0.22626263,monomer,-3.51753956,5.52639714,2.00885758,-4.27517938,0.95699816,-0.73477027,-4.05295149,-2.04409391,-6.28406518,0.27778796,-6.00627722,-8.05037113,-0.1545
,111,0.06060606,monomer,-6.38734066,5.57992308,-0.80741758,-2.67023226,0.73244835,-1.0012562,-2.93904011,-3.74645769,-6.77945611,0.32865732,-6.45079879,-10.19725648,-0.1849
,184,0.06060606,monomer,-10.38276984,8.10728683,-2.27548301,-2.95110822,0.85300393,-0.88146011,-2.9795644,-5.25504741,-7.62895348,0.43438273,-7.19457075,-12.44961816,-0.2288
,254,0.22626263,monomer,-8.57742954,6.21967454,-2.357755,-1.67629701,0.67286696,-0.76986681,-1.77329686,-4.13105186,-7.07501966,0.35046649,-6.72455317,-10.85560503,-0.1757
,270,0.06464646,monomer,-4.97364768,5.92968264,0.95603496,-3.79852077,0.65921879,-0.91536687,-4.05466885,-3.09863389,-6.11618902,0.28885302,-5.827336,-8.92596989,-0.1697
,288,0.4010101,monomer,0.57981703,5.67584569,6.25566272,-1.55172953,0.53415223,-0.68788456,-1.70546186,4.55020086,-7.57640999,0.35129937,-7.22511062,-2.67490976,-0.1519
,391,0.24747475,monomer,-7.7740509,12.29765128,4.52360038,-2.79183981,1.56014661,-0.78111058,-2.01280378,2.5107966,-9.59473104,0.64278825,-8.95194279,-6.44114619,-0.3332
,414,0.4010101,monomer,-4.85879489,8.21288035,3.35408546,-2.5929175,1.30606213,-0.74504233,-2.0318977,1.32218776,-8.35446647,0.49264076,-7.86182571,-6.53963795,-0.2367
,422,0.06464646,monomer,-7.45033502,7.72536818,0.27503316,-2.96156272,1.00660194,-0.58942343,-2.54438421,-2.26935105,-7.37181823,0.40919659,-6.96262164,-9.23197269,-0.2074
,443,0.24747475,monomer,-6.73529524,3.88928756,-2.84600768,-2.49675193,0.41025948,-0.7879723,-2.87446475,-5.72047243,-5.12637708,0.18245777,-4.94391931,-10.66439174,-0.1374
,535,0.06464646,monomer,-7.67523826,5.76032258,-1.91491568,-2.85972545,0.77371863,-0.92249917,-3.00850599,-4.92342167,-6.39530091,0.33775535,-6.05754556,-10.98096723,-0.1896
,564,0.22626263,monomer,-6.91641463,3.59616944,-3.32024519,-2.42988376,0.35554153,-0.64975991,-2.72410214,-6.04434733,-4.97035233,0.19082569,-4.77952664,-10.82387397,-0.104
,934,0.24747475,monomer,-7.91197221,8.23926789,0.32729568,-2.26715445,1.31567668,-0.7490581,-1.70053587,-1.37324019,-7.29409944,0.45911419,-6.83498525,-8.20822544,-0.2471
,25,0.06060606,dimer,-7.22120029,12.6578321,5.43663181,-6.48841108,3.39545702,-0.88261189,-3.97556595,1.46106586,-11.80501603,1.13103775,-10.67397828,-9.21291242,-0.3057
,33,0.4010101,dimer,-9.88356334,8.976428,-0.90713534,-4.20435312,2.18985628,-0.71610451,-2.73060135,-3.63773669,-8.72505452,0.75657078,-7.96848374,-11.60622043,-0.2424
,69,0.22626263,dimer,-3.58181142,5.83836233,2.25655091,-5.24200609,1.76933982,-0.34805427,-3.82072054,-1.56416963,-6.91407867,0.49663886,-6.41743981,-7.98160944,-0.1545
,111,0.06060606,dimer,-6.37450976,5.74067322,-0.63383654,-3.57155434,1.44885513,-0.46083339,-2.5835326,-3.21736914,-7.34910244,0.51836623,-6.83073621,-10.04810535,-0.1849
,184,0.06060606,dimer,-10.41398838,8.73798321,-1.67600517,-4.51064737,2.18376331,-0.61546236,-2.94234642,-4.61835159,-8.4609966,0.74940024,-7.71159636,-12.32994795,-0.2288
,254,0.22626263,dimer,-8.57268258,6.64134264,-1.93133994,-2.65647027,1.47732107,-0.4471912,-1.6263404,-3.55768034,-7.72747589,0.57621256,-7.15126333,-10.70894367,-0.1757
,270,0.06464646,dimer,-4.99598958,6.27748535,1.28149577,-4.86193644,1.55295798,-0.561896,-3.87087446,-2.58937869,-6.76435635,0.52229454,-6.24206181,-8.8314405,-0.1697
,288,0.4010101,dimer,0.54092336,6.05105319,6.59197655,-2.61174783,1.44223975,-0.34552102,-1.5150291,5.07694745,-8.25982125,0.59278268,-7.66703857,-2.59009112,-0.1519
